,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
10,1044,160,RM,21,1680,Pave,na,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0,96,483,GasA,3,Y,4,483,504,0,987,0,0,1,1,2,1,3,4,7,0,0,Detchd,1971,1,1,264,3,3,2,0,0,0,0,0,0,0,0,na,0,7,2008,COD,85400
11,2752,20,RL,64,7488,Pave,na,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0,815,1208,GasA,5,Y,4,1208,0,0,1208,0,0,2,0,2,1,4,6,7,0,0,Attchd,2005,2,2,632,3,3,2,105,58,0,0,0,0,0,0,na,0,2,2006,WD ,183600
12,807,70,RL,120,26400,Pave,na,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0,0,0,GasA,5,Y,4,1288,728,0,2016,0,0,1,0,4,1,3,7,4,1,3,Attchd,1900,1,2,576,3,3,1,0,0,0,0,0,0,0,0,na,0,6,2009,WD ,131000
13,1177,160,FV,24,2645,Pave,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0,147,960,GasA,5,Y,4,962,645,0,1607,1,0,2,1,3,1,4,7,7,0,0,Detchd,2000,1,2,480,3,3,2,169,0,0,0,0,0,0,0,na,0,12,2008,ConLD,200000
14,1480,20,RL,74,9627,Pave,na,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0,1327,1351,GasA,5,Y,4,1361,0,0,1361,0,0,2,0,3,1,4,6,7,0,0,Attchd,2007,2,2,610,3,3,2,0,50,0,0,0,0,0,0,na,0,6,2008,WD ,193000
15,324,20,RL,93,10114,Pave,na,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0,1430,1430,GasA,5,Y,4,1430,0,0,1430,0,0,2,0,3,1,4,7,7,0,0,Attchd,2004,2,2,624,3,3,2,0,0,0,0,0,0,0,0,na,0,3,2010,WD ,173500
16,1311,70,RM,34,4571,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0,624,624,GasA,2,N,4,624,720,0,1344,0,0,1,0,4,1,3,7,7,0,0,Detchd,1916,1,3,513,2,2,2,0,0,96,0,0,0,0,0,na,0,5,2008,COD,98000
17,770,20,RL,80,8816,Pave,na,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0,470,1121,GasA,3,Y,4,1121,0,0,1121,1,0,1,0,3,1,3,5,7,0,0,Detchd,1963,1,2,480,3,3,2,0,80,0,0,0,0,0,3,na,0,6,2009,WD ,139000
18,2063,20,RL,71,8197,Pave,na,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0,660,660,GasA,5,Y,4,1285,0,0,1285,0,0,1,1,3,1,3,7,7,1,3,Attchd,1977,2,2,528,3,3,2,138,0,0,0,0,0,0,3,na,0,4,2007,WD ,143500
19,69,60,FV,72,8640,Pave,na,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0,732,756,GasA,5,Y,4,764,783,0,1547,0,0,2,1,3,1,4,7,7,0,0,Attchd,2009,1,2,614,3,3,2,169,45,0,0,0,0,0,0,na,0,6,2010,Con,215200
20,2062,20,RL,109,8724,Pave,na,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0,402,894,GasA,4,Y,4,894,0,0,894,0,0,1,0,3,1,3,5,7,1,1,Attchd,1968,3,2,450,3,3,2,0,0,0,0,0,0,0,0,na,0,5,2007,WD ,129000
21,351,120,RL,40,5664,Pave,na,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0,343,1501,GasA,5,Y,4,1659,0,0,1659,1,0,2,0,2,1,5,5,7,1,5,Attchd,2000,3,2,499,3,3,2,212,59,0,0,0,0,0,0,na,0,10,2009,WD ,278000
22,2393,60,RL,103,12867,Pave,na,2,Lvl,3,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,na,0.0,4,3,PConc,5,3,3,1,0.0,1,0,1209,1209,GasA,5,Y,4,1209,1044,0,2253,0,0,2,1,3,1,5,8,7,1,4,Attchd,2005,3,2,575,3,3,2,243,142,0,0,0,0,0,0,na,0,7,2006,New,344133
23,12,20,RL,68,7980,Pave,na,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0,233,1168,GasA,5,Y,4,1187,0,0,1187,1,0,2,0,3,1,3,6,7,0,0,Attchd,1992,3,2,420,3,3,2,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD ,185000
24,2339,190,RL,100,34650,Pave,na,3,Bnk,3,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0,0,1056,GasA,3,N,4,1056,0,0,1056,1,0,1,0,3,1,3,5,7,0,0,Attchd,1955,3,2,572,3,3,2,264,0,0,0,0,0,0,0,na,0,1,2006,WD ,145000
25,624,20,RL,92,10573,Pave,na,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0,141,1453,GasA,5,Y,4,1453,0,0,1453,1,0,2,0,3,1,3,6,7,1,3,Attchd,1961,2,2,530,3,3,2,0,49,0,0,288,0,0,4,na,0,4,2009,WD ,187500
26,86,20,RL,65,8450,Pave,na,3,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117,224,894,GasA,5,Y,4,894,0,0,894,1,0,1,0,3,1,3,5,7,1,4,Detchd,1973,1,1,336,3,3,2,416,144,0,0,0,0,0,3,na,0,4,2010,WD ,138500
27,1534,50,RL,68,11700,Pave,Grvl,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0,336,942,GasA,5,Y,4,1265,673,0,1938,0,0,2,0,4,1,4,7,5,1,4,Detchd,1937,1,1,240,3,3,2,0,40,0,0,0,0,0,0,na,0,7,2008,WD ,198000
28,2243,190,C (all),75,8250,Pave,na,3,Lvl,3,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0,957,957,GasA,2,N,4,1034,957,0,1991,0,0,2,0,4,2,3,9,7,0,0,na,1980,0,0,0,0,0,0,0,0,133,0,0,0,0,0,na,0,6,2007,WD ,119600
29,1957,50,RL,60,8064,Pave,na,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0,672,672,GasA,5,Y,4,672,252,0,924,0,0,1,0,3,1,3,6,7,1,1,Detchd,2003,1,2,576,3,3,2,0,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,122900
30,380,20,RL,80,9600,Pave,na,3,Lvl,3,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0,1420,2524,GasA,3,Y,4,2524,0,0,2524,1,0,2,1,4,1,4,9,7,1,4,Attchd,1981,3,2,542,3,3,2,474,120,0,0,0,0,0,3,na,0,7,2009,WD ,278000
31,2860,70,RL,68,11435,Pave,na,2,HLS,3,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0,792,792,GasA,2,Y,4,792,725,0,1517,0,0,1,0,3,1,4,7,7,2,4,Detchd,1931,1,2,400,3,3,2,0,0,0,0,0,0,0,0,na,0,6,2006,WD ,230000
32,2517,120,RL,30,9549,Pave,na,2,Lvl,3,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057,0,1494,GasA,5,Y,4,1494,0,0,1494,1,0,1,1,2,1,5,6,7,1,4,Attchd,1995,3,2,481,3,3,2,0,30,0,0,216,0,0,0,na,0,4,2006,WD ,270000
33,1933,20,RL,60,10950,Pave,na,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0,507,948,GasA,3,Y,4,948,0,0,948,0,0,1,0,2,1,3,5,7,0,0,Detchd,1952,1,2,410,3,3,0,0,48,0,0,0,0,0,0,na,0,4,2007,WD ,125000
34,820,20,RL,79,10637,Pave,na,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0,417,1705,GasA,5,Y,4,1718,0,0,1718,1,0,2,0,3,1,4,7,7,1,4,Attchd,2007,2,3,826,3,3,2,208,44,0,0,0,0,0,0,na,0,9,2009,WD ,297000
35,675,20,RL,80,9000,Pave,na,2,HLS,3,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0,160,160,GasA,2,Y,4,1142,0,0,1142,0,0,1,0,2,1,3,5,7,1,4,Basment,1958,2,1,384,3,3,2,0,28,64,0,0,0,0,0,na,0,4,2009,WD ,113500
36,2910,160,RM,41,2665,Pave,na,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173,36,757,GasA,5,Y,4,925,550,0,1475,0,0,2,0,4,1,3,6,7,1,3,Attchd,1977,2,1,336,3,3,2,104,26,0,0,0,0,0,0,na,0,7,2006,WD ,127000
37,21,20,RL,105,11751,Pave,na,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0,1139,1844,GasA,5,Y,4,1844,0,0,1844,0,0,2,0,3,1,3,7,7,1,3,Attchd,1977,2,2,546,3,3,2,0,122,0,0,0,0,0,3,na,0,1,2010,COD,190000
38,1873,20,RL,80,9600,Pave,na,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0,326,1242,GasA,2,Y,4,1242,0,0,1242,0,0,1,1,3,1,3,6,7,1,3,Attchd,1973,1,2,528,3,3,2,0,0,0,0,0,0,0,0,na,0,9,2007,WD ,175500
39,2125,20,RL,60,8428,Pave,na,1,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0,570,990,GasA,5,Y,4,990,0,0,990,1,0,1,0,3,1,3,5,7,0,0,Detchd,1995,1,1,384,3,3,2,256,0,0,0,0,0,0,0,na,0,7,2007,WD ,146000
40,1489,20,RL,75,9937,Pave,na,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290,136,1256,GasA,4,Y,4,1256,0,0,1256,1,0,1,1,3,1,3,6,7,0,0,Attchd,1965,3,1,276,3,3,2,736,68,0,0,0,0,0,0,na,0,6,2008,WD ,147500
41,2383,20,RL,107,13891,Pave,na,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,na,0.0,5,3,PConc,5,4,4,6,1386.0,1,0,690,2076,GasA,5,Y,4,2076,0,0,2076,1,0,2,1,2,1,5,7,7,1,4,Attchd,2006,3,3,850,3,3,2,216,229,0,0,0,0,0,0,na,0,9,2006,New,465000
42,983,85,RL,68,9101,Pave,na,2,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,0,0,1097,GasA,5,Y,4,1110,0,0,1110,1,0,1,0,1,1,4,4,7,1,3,Attchd,1978,3,2,602,3,3,2,303,30,0,0,0,0,0,0,na,0,7,2009,WD ,165500
43,1325,50,RM,81,12150,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,0,1050,1050,GasA,5,N,2,1050,745,0,1795,0,0,2,0,4,1,3,7,7,0,0,Attchd,1954,1,1,352,2,3,2,0,0,0,0,0,0,0,0,na,0,11,2008,WD ,131500
44,1378,20,RL,70,11200,Pave,na,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0,134,1040,GasA,5,Y,4,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,Detchd,1965,1,1,384,3,3,2,0,0,0,0,0,0,0,0,na,0,2,2008,WD ,129500
45,1537,70,RL,100,9670,Pave,na,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,0,398,608,GasA,3,Y,4,983,890,0,1873,0,0,1,1,4,1,3,9,7,2,4,Detchd,1935,3,2,786,2,3,2,0,0,207,0,0,0,0,0,na,0,6,2008,WD ,257076
46,905,50,RL,60,10998,Pave,Grvl,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,4,420,156,984,GasA,5,Y,4,984,620,0,1604,0,0,2,0,3,1,3,6,5,0,0,Detchd,1977,1,2,660,3,3,2,0,68,0,0,0,0,0,0,na,0,7,2009,WD ,117000
47,1532,70,RL,60,7200,Pave,na,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,1,0,776,776,GasA,3,Y,4,851,651,0,1502,0,0,1,1,3,1,3,6,7,1,4,Attchd,1931,2,1,270,3,3,1,0,0,112,0,0,0,0,3,na,0,2,2008,WD ,149000
48,132,20,RL,80,9920,Pave,na,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,2,290,412,1056,GasA,3,Y,4,1063,0,0,1063,1,0,1,0,3,1,3,6,7,0,0,Attchd,1954,2,1,280,3,3,2,0,0,164,0,0,0,0,3,na,0,2,2010,WD ,128000
49,1078,160,RL,36,2448,Pave,na,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,0,764,764,GasA,5,Y,4,764,862,0,1626,0,0,2,1,2,1,4,6,7,0,0,BuiltIn,2003,2,2,474,3,3,2,0,27,0,0,0,0,0,0,na,0,10,2008,WD ,155000
50,2511,160,FV,68,2998,Pave,na,3,Lvl,3,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,1,0,403,756,GasA,5,Y,4,768,756,0,1524,0,0,2,1,2,1,4,4,7,0,0,Detchd,2000,1,2,440,3,3,2,0,32,0,0,0,0,0,0,na,0,6,2006,WD ,166000
51,912,50,RL,65,7804,Pave,na,3,Lvl,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,1,0,500,1122,GasA,3,Y,4,1328,653,0,1981,1,0,2,0,4,1,4,7,5,2,3,Detchd,1981,1,2,576,3,3,2,431,44,0,0,0,0,0,3,na,0,12,2009,WD ,135000
52,2351,60,RL,80,16692,Pave,na,2,Lvl,3,Inside,2,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,2,469,133,1392,GasA,3,Y,4,1392,1392,0,2784,1,0,3,1,5,1,4,12,7,2,3,Attchd,1978,2,2,564,3,3,2,0,112,0,0,440,519,1,3,TenC,2000,7,2006,WD ,250000
53,330,160,RM,21,1476,Pave,na,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,1,0,370,546,GasA,5,Y,4,546,546,0,1092,0,0,1,1,3,1,3,5,7,0,0,na,1980,0,0,0,0,0,2,200,26,0,0,0,0,0,0,na,0,3,2010,WD ,76000
54,2586,20,RL,75,10170,Pave,na,3,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,1,0,216,216,GasA,3,Y,4,1575,0,0,1575,0,0,1,1,2,1,4,5,7,1,4,Attchd,1951,1,2,400,3,3,2,0,0,0,0,0,0,0,0,na,0,6,2006,WD ,155000
55,224,60,RL,80,9364,Pave,na,3,Lvl,3,Corner,2,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,371.0,1,0,292,663,GasA,3,Y,4,663,689,0,1352,0,0,1,1,4,1,3,7,7,0,0,Attchd,1969,3,1,299,3,3,2,379,36,0,0,0,0,0,3,na,0,3,2010,WD ,158000
56,98,160,FV,24,2544,Pave,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,368.0,5,42,190,600,GasA,5,Y,4,600,600,0,1200,1,0,2,1,2,1,4,4,7,0,0,Detchd,2004,2,2,480,3,3,2,0,172,0,0,0,0,0,0,na,0,2,2010,WD ,149500
