street_name,postal_code
CLEMENTI ST 13,600108
HOUGANG ST 21,530202
LOR 1A TOA PAYOH,310138
LOR 2 TOA PAYOH,319640
JLN TECK WHYE,680150
MARINE TER,441012
SERANGOON CTRL DR,550253
SIMEI ST 4,529861
DAKOTA CRES,390010
CHIN SWEE RD,160051
ANCHORVALE ST,544835
CORPORATION DR,610368
CHOA CHU KANG AVE 5,NIL
WHAMPOA WEST,330034
EUNOS RD 5,409352
SIMEI ST 5,520242
BEDOK STH RD,460016
TOA PAYOH EAST,319380
SUMANG LINK,828805
JELEBU RD,677743
CLEMENTI ST 14,120101
DOVER RD,130001
BEO CRES,169982
CHOA CHU KANG DR,689716
WOODLANDS DR 50,730888
JLN MA'MOR,320053
PINE CL,390001
COMPASSVALE LANE,545090
ADMIRALTY DR,730501
HOUGANG AVE 6,530521
YISHUN CTRL 1,760925
BT BATOK ST 11,659674
JURONG WEST ST 25,640276
CHOA CHU KANG AVE 1,680253
JURONG WEST ST 75,649112
WOODLANDS AVE 4,730610
WOODLANDS CRES,757087
SEMBAWANG WAY,NIL
CHAI CHEE DR,469044
YUNG PING RD,610159
TELOK BLANGAH ST 31,108942
LOR 5 TOA PAYOH,310075
CLEMENTI ST 11,120108
BOON LAY AVE,649960
TAMPINES ST 41,520406
HOUGANG ST 31,532373
CHOA CHU KANG ST 51,689338
PIPIT RD,370053
LOR 7 TOA PAYOH,310020
BUANGKOK CRES,530982
TECK WHYE CRES,688847
FERNVALE RD,790437
TELOK BLANGAH DR,100079
REDHILL RD,NIL
LOR 4 TOA PAYOH,310093
TAO CHING RD,618720
QUEENSWAY,NIL
SMITH ST,058971
PASIR RIS ST 53,519632
SERANGOON NTH AVE 1,550153
FERNVALE LANE,797701
WELLINGTON CIRCLE,757702
TAMPINES ST 45,529093
CRAWFORD LANE,190461
NEW UPP CHANGI RD,467353
BEDOK CTRL,460218
PUNGGOL DR,820612
C'WEALTH AVE,140007
SENGKANG EAST RD,540200
COMPASSVALE ST,540263
HOUGANG AVE 4,530682
HOUGANG ST 52,538750
ROWELL RD,NIL
JURONG WEST ST 64,648345
TAMPINES ST 23,529341
SENGKANG WEST WAY,797622
BT MERAH CTRL,150163
RIVERVALE ST,545088
JURONG EAST AVE 1,609786
PUNGGOL WALK,NIL
ANG MO KIO AVE 2,569977
CANBERRA CRES,750120
CHOA CHU KANG CRES,688846
LENGKONG TIGA,410110
PASIR RIS ST 41,518934
UPP SERANGOON CRES,534035
GANGSA RD,670101
FARRER PK RD,217562
SIN MING RD,575627
PUNGGOL EAST,NIL
DELTA AVE,NIL
JURONG WEST ST 52,640505
CASSIA CRES,391028
WHAMPOA DR,320092
NEW MKT RD,461058
CANTONMENT RD,080001
KIM CHENG ST,160041
BAIN ST,180231
ZION RD,NIL
HOUGANG AVE 3,NIL
BT BATOK WEST AVE 4,650417
TAMPINES ST 44,520475
MOULMEIN RD,210009
TOA PAYOH CTRL,310178
YUAN CHING RD,618642
JLN DUA,390093
JURONG WEST ST 93,648968
CHAI CHEE RD,461025
ANG MO KIO AVE 6,569839
PUNGGOL PL,820261
BT PURMEI RD,090112
SERANGOON AVE 2,550301
DORSET RD,219486
PUNGGOL FIELD WALK,824128
JURONG WEST ST 74,649149
YISHUN CTRL,769098
HOUGANG AVE 8,530644
CHOA CHU KANG CTRL,680309
BOON LAY PL,641208
YISHUN ST 81,760845
HOY FATT RD,159504
RACE COURSE RD,217649
JURONG WEST AVE 5,649483
SERANGOON AVE 4,552152
YISHUN AVE 4,769028
KELANTAN RD,208600
YISHUN RING RD,760849
MACPHERSON LANE,360081
YISHUN AVE 5,768642
MARSILING LANE,730021
EUNOS CRES,400020
ADMIRALTY LINK,757521
YISHUN AVE 9,768888
KALLANG BAHRU,NIL
YISHUN ST 11,768642
KIM TIAN PL,160007
KIM KEAT LINK,310241
YUNG HO RD,618594
SIMEI LANE,528710
TAMPINES ST 32,529283
TAMPINES ST 82,520844
YISHUN ST 22,760293
TOWNER RD,322101
RIVERVALE CRES,545084
JURONG EAST ST 13,600135
HOLLAND AVE,278920
COMPASSVALE CRES,540286
EDGEFIELD PLAINS,820103
BEDOK RESERVOIR CRES,470747
WOODLANDS DR 62,737942
GLOUCESTER RD,210009
BALAM RD,370019
PANDAN GDNS,NIL
LOR 8 TOA PAYOH,310210
JURONG WEST ST 81,649075
ANG MO KIO ST 44,569250
JLN BATU,432004
HAIG RD,430013
SEMBAWANG CL,737853
ANCHORVALE RD,540308
PASIR RIS DR 6,510446
ELIAS RD,510623
JOO SENG RD,360008
SIMS PL,NIL
HOLLAND CL,271006
LOR AH SOO,534051
HOUGANG AVE 7,530106
YISHUN AVE 11,768642
TAMPINES ST 34,529232
BEDOK STH AVE 2,469317
TECK WHYE AVE,680001
BT BATOK EAST AVE 5,650231
JLN DUSUN,329363
BT BATOK WEST AVE 5,659084
BOON TIONG RD,161011
HENDERSON CRES,150101
KG KAYU RD,431001
C'WEALTH CL,140081
GEYLANG EAST AVE 1,389778
WOODLANDS AVE 3,NIL
YISHUN ST 72,760761
TELOK BLANGAH WAY,098800
BT BATOK WEST AVE 6,650132
JLN TENAGA,410645
JLN BERSEH,209037
VEERASAMY RD,207305
EMPRESS RD,260007
TAH CHING RD,618744
TAMPINES ST 42,529176
CLEMENTI WEST ST 1,120606
CANTONMENT CL,088256
WOODLANDS DR 40,737774
COMPASSVALE WALK,544644
JURONG WEST ST 61,648368
SENGKANG CTRL,545025
BT BATOK ST 24,659480
ANCHORVALE DR,540301
BT BATOK ST 52,659243
UPP ALJUNIED LANE,367901
TAMPINES ST 83,520831
HOUGANG ST 61,530685
WOODLANDS ST 41,738547
HOUGANG ST 32,534041
CLEMENTI AVE 5,120325
SERANGOON NTH AVE 3,550542
ANG MO KIO AVE 3,569927
WOODLANDS DR 42,737775
BT BATOK WEST AVE 7,659003
BT BATOK ST 33,650319
MONTREAL LINK,750503
JLN KAYU,799131
NTH BRIDGE RD,NIL
HOUGANG AVE 5,530322
CHOA CHU KANG ST 54,689189
BENDEMEER RD,NIL
CHOA CHU KANG AVE 7,NIL
TAMPINES ST 24,524201
HOUGANG AVE 10,538767
ANG MO KIO ST 32,569299
YISHUN AVE 7,760173
GEYLANG BAHRU,NIL
RIVERVALE DR,541116
CHOA CHU KANG AVE 4,680303
LIM LIAK ST,160027
COMPASSVALE LINK,543277
TAMPINES CTRL 7,528769
TAMAN HO SWEE,162012
JURONG EAST ST 31,600346
REDHILL LANE,150079
JURONG WEST ST 91,649041
WOODLANDS AVE 5,NIL
WOODLANDS ST 11,730168
CLEMENTI AVE 6,NIL
POTONG PASIR AVE 3,350134
CHANGI VILLAGE RD,NIL
SEMBAWANG DR,750463
TAMPINES AVE 1,529757
BT BATOK ST 22,659592
CAMBRIDGE RD,210043
YISHUN ST 20,760296
JLN KUKOH,161001
WOODLANDS DR 52,737900
UBI AVE 1,400301
FAJAR RD,679002
PAYA LEBAR WAY,NIL
JURONG WEST ST 41,640494
MEI LING ST,140158
LOR 1 TOA PAYOH,310109
PASIR RIS DR 4,510440
WOODLANDS DR 16,737764
KANG CHING RD,619061
KENT RD,119210
FERNVALE ST,797390
BEDOK NTH AVE 2,460412
JLN TIGA,390039
WOODLANDS DR 14,738079
BISHAN ST 11,570151
LOWER DELTA RD,169198
MOH GUAN TER,160043
TAMPINES ST 33,529259
STRATHMORE AVE,140048
TG PAGAR PLAZA,082001
OLD AIRPORT RD,390051
GEYLANG EAST CTRL,389778
FERNVALE LINK,797702
WOODLANDS ST 13,738597
LENGKOK BAHRU,150064
CHAI CHEE ST,469662
KG ARANG RD,431012
COMPASSVALE RD,544749
BT BATOK ST 51,650531
HOUGANG ST 92,538683
C'WEALTH AVE WEST,NIL
BEDOK STH AVE 3,460168
MARINE DR,440061
MCNAIR RD,328516
TAMPINES ST 91,528906
TECK WHYE LANE,680141
DOVER CRES,130028
YUNG LOH RD,610155
SENGKANG EAST AVE,540279
CHOA CHU KANG AVE 3,689858
BT BATOK WEST AVE 8,650166
SAUJANA RD,670409
CLEMENTI AVE 3,120448
TIONG BAHRU RD,162001
AH HOOD RD,319318
JELAPANG RD,677740
BEDOK NTH ST 3,460538
LOMPANG RD,671170
TESSENSOHN RD,217701
BISHAN ST 23,579757
BT BATOK CTRL,658713
SERANGOON AVE 1,550153
TAMPINES ST 22,529367
PUNGGOL RD,NIL
WOODLANDS AVE 1,739066
DEPOT RD,109683
HOUGANG AVE 1,530121
FRENCH RD,200808
HENDERSON RD,159561
ANG MO KIO AVE 4,560632
BEDOK NTH ST 2,469642
BISHAN ST 12,579808
PASIR RIS ST 12,510101
YISHUN ST 41,761456
ANG MO KIO AVE 5,569866
SUMANG LANE,820220
JURONG WEST ST 42,640401
KING GEORGE'S AVE,208557
YISHUN ST 51,761504
YISHUN ST 21,768610
HOLLAND DR,270044
JURONG WEST ST 51,649332
SENJA RD,670628
COMPASSVALE BOW,544996
HOUGANG ST 22,538728
SERANGOON NTH AVE 2,555876
GEYLANG SERAI,408528
C'WEALTH CRES,149644
CASHEW RD,NIL
CHOA CHU KANG ST 62,689143
WOODLANDS ST 31,730306
HOUGANG CTRL,538757
BEDOK RESERVOIR RD,470744
ANCHORVALE LINK,545079
JURONG WEST ST 72,640731
SEGAR RD,677738
PASIR RIS ST 51,518900
SELEGIE RD,188306
TAMPINES ST 86,523872
BT BATOK ST 34,659322
GHIM MOH RD,270020
TAMPINES ST 84,528933
EVERTON PK,080005
JURONG EAST ST 32,609477
QUEEN'S CL,140019
WOODLANDS AVE 6,738990
KLANG LANE,210671
MARSILING RD,739229
JLN TENTERAM,320116
UPP CROSS ST,050034
LOR LIMAU,320080
WHAMPOA STH,330049
ANG MO KIO ST 11,560102
TELOK BLANGAH HTS,100056
HOUGANG ST 91,538692
CANBERRA LINK,756972
INDUS RD,169586
BISHAN ST 13,570513
BEACH RD,NIL
WOODLANDS ST 83,738488
SIMEI RD,520155
BT BATOK EAST AVE 4,650272
BT BATOK ST 21,659630
HOUGANG AVE 2,538858
SIN MING AVE,575728
MARSILING DR,730001
HOUGANG ST 51,538720
WOODLANDS DR 70,733717
TAMPINES ST 11,521107
SILAT AVE,160150
JLN DAMAI,419613
TAMPINES AVE 9,529568
TAMPINES CTRL 8,520519
WOODLANDS DR 71,730670
CLEMENTI AVE 1,121420
BT MERAH VIEW,152120
TAMPINES AVE 4,520811
PENDING RD,670128
TAMPINES ST 81,520823
FARRER RD,268857
JLN BAHAGIA,320027
BEDOK NTH AVE 3,460133
KEAT HONG LINK,NIL
YISHUN AVE 1,769141
JURONG WEST ST 24,648347
ANG MO KIO ST 31,562309
C'WEALTH DR,140463
QUEEN ST,NIL
PUNGGOL FIELD,824128
CHOA CHU KANG ST 53,689236
SHUNFU RD,570320
ALJUNIED AVE 2,380117
JLN KLINIK,160020
JURONG WEST ST 62,649408
HOUGANG AVE 9,538776
CLEMENTI WEST ST 2,120726
BOON KENG RD,NIL
SENJA LINK,677641
PASIR RIS DR 10,519468
CHOA CHU KANG NTH 7,NIL
SERANGOON CTRL,550261
ANG MO KIO AVE 1,569977
YISHUN ST 71,768515
SENG POH RD,160058
CANBERRA RD,750511
BT MERAH LANE 1,150120
TELOK BLANGAH RISE,090036
YUNG AN RD,610357
SEMBAWANG VISTA,750316
JLN BT HO SWEE,162002
HOUGANG ST 11,538751
JURONG WEST AVE 3,640273
JURONG WEST ST 92,640960
PASIR RIS ST 13,510158
KIM TIAN RD,169252
MARINE CRES,441047
WEST COAST DR,120502
TOH GUAN RD,605286
KIM KEAT AVE,310260
KRETA AYER RD,088981
CHANDER RD,219528
CHOA CHU KANG AVE 2,689907
ANG MO KIO AVE 10,560409
WOODLANDS DR 60,737896
YISHUN AVE 3,769061
BT BATOK ST 25,657289
JURONG WEST AVE 1,640502
BT BATOK WEST AVE 2,659203
PUNGGOL WAY,821261
BT BATOK ST 32,659637
DAWSON RD,141078
TELOK BLANGAH CRES,090011
SPOTTISWOODE PK RD,080108
BEDOK STH AVE 1,469335
STIRLING RD,149731
JURONG WEST ST 65,641666
UPP BOON KENG RD,NIL
WOODLANDS ST 81,738526
SIMEI ST 1,528833
