,state,ebrw_sat_17,math_sat_17,total_sat_17,p_sat_rate_17,english_act_17,math_act_17,reading_act_17,sci_act_17,composite_act_17,p_act_rate_17,ebrw_sat_18,math_sat_18,total_sat_18,p_sat_rate_18,composite_act_18,p_act_rate_18
39,Rhode Island,539,524,1062,0.71,24.0,23.3,24.7,23.4,24.0,0.21,513,505,1018,0.97,24.2,0.15
40,South Carolina,543,521,1064,0.5,17.5,18.6,19.1,18.9,18.7,1.0,547,523,1070,0.55,18.3,1.0
41,South Dakota,612,603,1216,0.03,20.7,21.5,22.3,22.0,21.8,0.8,622,618,1240,0.03,21.9,0.77
42,Tennessee,623,604,1228,0.05,19.5,19.2,20.1,19.9,19.8,1.0,624,607,1231,0.06,19.6,1.0
43,Texas,513,507,1020,0.62,19.5,20.7,21.1,20.9,20.7,0.45,520,512,1032,0.66,20.7,0.45
44,Utah,624,614,1238,0.03,19.5,19.9,20.8,20.6,20.3,1.0,480,530,1010,0.04,20.4,1.0
45,Vermont,562,551,1114,0.6,23.3,23.1,24.4,23.2,23.6,0.29,565,554,1120,0.64,24.1,0.24
46,Virginia,561,541,1102,0.65,23.5,23.3,24.6,23.5,23.8,0.29,567,550,1117,0.68,23.9,0.24
47,Washington,541,534,1075,0.64,20.9,21.9,22.1,22.0,21.9,0.29,543,538,1081,0.69,22.2,0.24
48,West Virginia,558,528,1086,0.14,20.0,19.4,21.2,20.5,20.4,0.69,513,486,999,0.28,20.3,0.65
49,Wisconsin,642,649,1291,0.03,19.7,20.4,20.6,20.9,20.5,1.0,641,653,1294,0.03,20.5,1.0
50,Wyoming,626,604,1230,0.03,19.4,19.8,20.8,20.6,20.2,1.0,633,625,1257,0.03,20.0,1.0
